,y_true_label,y_pred_label,Freq
40,EASTERN COMA,QUESTION MARK,5
66,LARGE MARBLE,EASTERN DAPPLE WHITE,5
26,CLOUDED SULPHUR,SOUTHERN DOGFACE,4
42,EASTERN DAPPLE WHITE,BECKERS WHITE,4
13,BLUE SPOTTED CROW,POPINJAY,3
35,COPPER TAIL,PURPLISH COPPER,3
105,SOUTHERN DOGFACE,CLOUDED SULPHUR,3
10,BLACK HAIRSTREAK,GREY HAIRSTREAK,3
19,CLEOPATRA,CABBAGE WHITE,2
25,CLOUDED SULPHUR,SLEEPY ORANGE,2
91,QUESTION MARK,EASTERN COMA,2
73,MILBERTS TORTOISESHELL,MOURNING CLOAK,2
29,COMMON BANDED AWL,SILVER SPOT SKIPPER,2
62,JULIA,TROPICAL LEAFWING,2
30,COMMON BANDED AWL,TROPICAL LEAFWING,2
9,BECKERS WHITE,LARGE MARBLE,2
87,PURPLISH COPPER,COPPER TAIL,2
23,CLOUDED SULPHUR,CLEOPATRA,2
79,ORCHARD SWALLOW,BANDED PEACOCK,1
81,PEACOCK,MILBERTS TORTOISESHELL,1
82,PINE WHITE,BECKERS WHITE,1
80,ORCHARD SWALLOW,DANAID EGGFLY,1
0,ADONIS,ORANGE OAKLEAF,1
78,ORANGE TIP,MESTRA,1
77,ORANGE OAKLEAF,RED ADMIRAL,1
84,POPINJAY,RED CRACKER,1
76,MOURNING CLOAK,BROWN SIPROETA,1
75,MILBERTS TORTOISESHELL,SILVER SPOT SKIPPER,1
74,MILBERTS TORTOISESHELL,PAINTED LADY,1
72,METALMARK,ZEBRA LONG WING,1
71,METALMARK,TWO BARRED FLASHER,1
70,MESTRA,COMMON WOOD-NYMPH,1
69,MESTRA,CLODIUS PARNASSIAN,1
68,MANGROVE SKIPPER,GREY HAIRSTREAK,1
67,MANGROVE SKIPPER,CLEOPATRA,1
65,LARGE MARBLE,CLODIUS PARNASSIAN,1
64,LARGE MARBLE,CABBAGE WHITE,1
83,PINE WHITE,EASTERN DAPPLE WHITE,1
90,PURPLISH COPPER,QUESTION MARK,1
85,PURPLE HAIRSTREAK,ADONIS,1
100,SLEEPY ORANGE,SOUTHERN DOGFACE,1
110,ULYSES,RED CRACKER,1
109,TWO BARRED FLASHER,METALMARK,1
108,TROPICAL LEAFWING,SLEEPY ORANGE,1
107,TROPICAL LEAFWING,EASTERN COMA,1
106,STRAITED QUEEN,MONARCH,1
104,SOOTYWING,SILVER SPOT SKIPPER,1
103,SOOTYWING,GREY HAIRSTREAK,1
102,SOOTYWING,BLUE MORPHO,1
101,SLEEPY ORANGE,TROPICAL LEAFWING,1
99,SLEEPY ORANGE,CLOUDED SULPHUR,1
86,PURPLISH COPPER,ADONIS,1
98,SLEEPY ORANGE,CLEOPATRA,1
97,SILVER SPOT SKIPPER,COMMON BANDED AWL,1
96,RED POSTMAN,RED ADMIRAL,1
95,RED POSTMAN,MILBERTS TORTOISESHELL,1
94,RED POSTMAN,ATALA,1
93,RED CRACKER,RED POSTMAN,1
92,RED ADMIRAL,PAINTED LADY,1
89,PURPLISH COPPER,MESTRA,1
88,PURPLISH COPPER,MANGROVE SKIPPER,1
63,LARGE MARBLE,BECKERS WHITE,1
56,GREAT JAY,MALACHITE,1
61,IPHICLUS SISTER,METALMARK,1
33,COPPER TAIL,COMMON BANDED AWL,1
31,COMMON WOOD-NYMPH,ORCHARD SWALLOW,1
28,COMMON BANDED AWL,METALMARK,1
27,COMMON BANDED AWL,GOLD BANDED,1
24,CLOUDED SULPHUR,MONARCH,1
22,CLODIUS PARNASSIAN,BECKERS WHITE,1
21,CLEOPATRA,SOUTHERN DOGFACE,1
20,CLEOPATRA,CLOUDED SULPHUR,1
18,CHECQUERED SKIPPER,ORANGE OAKLEAF,1
17,CHECQUERED SKIPPER,AMERICAN SNOOT,1
16,BROWN SIPROETA,SOUTHERN DOGFACE,1
15,BROWN SIPROETA,IPHICLUS SISTER,1
14,BROWN SIPROETA,DANAID EGGFLY,1
12,BLUE MORPHO,ULYSES,1
11,BLUE MORPHO,MANGROVE SKIPPER,1
8,BANDED PEACOCK,GREAT EGGFLY,1
7,BANDED ORANGE HELICONIAN,RED POSTMAN,1
6,APPOLLO,CLODIUS PARNASSIAN,1
5,AN 88,SCARCE SWALLOW,1
4,AMERICAN SNOOT,SILVER SPOT SKIPPER,1
3,AMERICAN SNOOT,QUESTION MARK,1
