,y_true_label,y_pred_label,Freq
52,JULIA,BANDED ORANGE HELICONIAN,7
34,EASTERN COMA,QUESTION MARK,5
76,PURPLISH COPPER,COPPER TAIL,4
36,EASTERN DAPPLE WHITE,LARGE MARBLE,4
91,SOUTHERN DOGFACE,CLOUDED SULPHUR,3
65,ORANGE OAKLEAF,TROPICAL LEAFWING,3
87,SLEEPY ORANGE,CLOUDED SULPHUR,3
27,COMMON WOOD-NYMPH,WOOD SATYR,3
7,BECKERS WHITE,LARGE MARBLE,3
8,BLACK HAIRSTREAK,COMMON BANDED AWL,2
75,PURPLE HAIRSTREAK,COMMON BANDED AWL,2
30,COPPER TAIL,TROPICAL LEAFWING,2
28,COPPER TAIL,PURPLISH COPPER,2
77,PURPLISH COPPER,QUESTION MARK,2
17,CLEOPATRA,CLOUDED SULPHUR,2
42,GREAT EGGFLY,BLUE SPOTTED CROW,2
25,COMMON BANDED AWL,SOOTYWING,2
48,INDRA SWALLOW,GREAT EGGFLY,2
59,METALMARK,GREEN CELLED CATTLEHEART,2
71,PIPEVINE SWALLOW,INDRA SWALLOW,1
58,MANGROVE SKIPPER,PIPEVINE SWALLOW,1
72,POPINJAY,INDRA SWALLOW,1
68,PINE WHITE,BECKERS WHITE,1
70,PIPEVINE SWALLOW,AFRICAN GIANT SWALLOWTAIL,1
69,PINE WHITE,GREAT EGGFLY,1
67,PEACOCK,MILBERTS TORTOISESHELL,1
73,POPINJAY,SOOTYWING,1
60,METALMARK,TWO BARRED FLASHER,1
61,MILBERTS TORTOISESHELL,IPHICLUS SISTER,1
64,ORANGE OAKLEAF,QUESTION MARK,1
63,ORANGE OAKLEAF,GREY HAIRSTREAK,1
62,MILBERTS TORTOISESHELL,PAINTED LADY,1
66,ORCHARD SWALLOW,DANAID EGGFLY,1
0,AFRICAN GIANT SWALLOWTAIL,MALACHITE,1
74,PURPLE HAIRSTREAK,ADONIS,1
88,SOOTYWING,BANDED PEACOCK,1
97,ULYSES,BLUE MORPHO,1
96,ULYSES,BANDED PEACOCK,1
95,TWO BARRED FLASHER,ORCHARD SWALLOW,1
94,TWO BARRED FLASHER,MANGROVE SKIPPER,1
93,TWO BARRED FLASHER,CHECQUERED SKIPPER,1
92,TROPICAL LEAFWING,SOOTYWING,1
90,SOOTYWING,MOURNING CLOAK,1
89,SOOTYWING,METALMARK,1
86,SLEEPY ORANGE,BECKERS WHITE,1
56,MANGROVE SKIPPER,BLUE SPOTTED CROW,1
85,SLEEPY ORANGE,AFRICAN GIANT SWALLOWTAIL,1
84,RED SPOTTED PURPLE,PIPEVINE SWALLOW,1
83,RED POSTMAN,GREEN CELLED CATTLEHEART,1
82,RED POSTMAN,BANDED PEACOCK,1
81,RED CRACKER,RED POSTMAN,1
80,RED ADMIRAL,PAINTED LADY,1
79,QUESTION MARK,METALMARK,1
78,QUESTION MARK,EASTERN COMA,1
57,MANGROVE SKIPPER,GREEN CELLED CATTLEHEART,1
49,INDRA SWALLOW,ORCHARD SWALLOW,1
55,MANGROVE SKIPPER,BANDED PEACOCK,1
13,CHECQUERED SKIPPER,SILVER SPOT SKIPPER,1
22,CLOUDED SULPHUR,SOUTHERN DOGFACE,1
21,CLOUDED SULPHUR,SLEEPY ORANGE,1
20,CLOUDED SULPHUR,MALACHITE,1
19,CLOUDED SULPHUR,COPPER TAIL,1
18,CLODIUS PARNASSIAN,SCARCE SWALLOW,1
16,CLEOPATRA,CABBAGE WHITE,1
15,CLEOPATRA,ADONIS,1
14,CHECQUERED SKIPPER,YELLOW SWALLOW TAIL,1
12,BROWN SIPROETA,GREAT EGGFLY,1
24,COMMON BANDED AWL,PURPLISH COPPER,1
11,BLUE SPOTTED CROW,SOOTYWING,1
10,BLUE MORPHO,COMMON WOOD-NYMPH,1
9,BLACK HAIRSTREAK,GREY HAIRSTREAK,1
6,BANDED ORANGE HELICONIAN,RED POSTMAN,1
5,ATALA,BLUE SPOTTED CROW,1
4,APPOLLO,CLODIUS PARNASSIAN,1
3,AN 88,PAPER KITE,1
2,AMERICAN SNOOT,QUESTION MARK,1
23,COMMON BANDED AWL,GOLD BANDED,1
26,COMMON BANDED AWL,TWO BARRED FLASHER,1
54,LARGE MARBLE,CLODIUS PARNASSIAN,1
43,GREAT EGGFLY,BROWN SIPROETA,1
53,LARGE MARBLE,CABBAGE WHITE,1
51,IPHICLUS SISTER,GREAT EGGFLY,1
50,INDRA SWALLOW,YELLOW SWALLOW TAIL,1
1,AMERICAN SNOOT,GOLD BANDED,1
47,GREY HAIRSTREAK,COPPER TAIL,1
46,GREEN CELLED CATTLEHEART,BANDED PEACOCK,1
45,GREAT JAY,PAPER KITE,1
44,GREAT JAY,ORCHARD SWALLOW,1
41,GOLD BANDED,METALMARK,1
29,COPPER TAIL,STRAITED QUEEN,1
40,GOLD BANDED,COMMON BANDED AWL,1
39,ELBOWED PIERROT,CHESTNUT,1
38,EASTERN PINE ELFIN,TROPICAL LEAFWING,1
37,EASTERN PINE ELFIN,CRECENT,1
35,EASTERN DAPPLE WHITE,BECKERS WHITE,1
33,DANAID EGGFLY,GREAT EGGFLY,1
32,DANAID EGGFLY,BLUE SPOTTED CROW,1
31,DANAID EGGFLY,BANDED ORANGE HELICONIAN,1
98,YELLOW SWALLOW TAIL,PIPEVINE SWALLOW,1
