,y_true,y_pred,y_true_label,y_pred_label,filename,label
13,22,67,COPPER TAIL,STRAITED QUEEN,Image_3518.jpg,COPPER TAIL
25,56,22,PURPLISH COPPER,COPPER TAIL,Image_2661.jpg,PURPLISH COPPER
35,37,6,JULIA,BANDED ORANGE HELICONIAN,Image_6305.jpg,JULIA
46,28,23,EASTERN PINE ELFIN,CRECENT,Image_3889.jpg,EASTERN PINE ELFIN
53,53,1,PIPEVINE SWALLOW,AFRICAN GIANT SWALLOWTAIL,Image_6175.jpg,PIPEVINE SWALLOW
55,25,6,DANAID EGGFLY,BANDED ORANGE HELICONIAN,Image_1487.jpg,DANAID EGGFLY
66,8,38,BECKERS WHITE,LARGE MARBLE,Image_4684.jpg,BECKERS WHITE
67,57,42,QUESTION MARK,METALMARK,Image_3101.jpg,QUESTION MARK
92,69,15,TWO BARRED FLASHER,CHECQUERED SKIPPER,Image_959.jpg,TWO BARRED FLASHER
94,64,19,SLEEPY ORANGE,CLOUDED SULPHUR,Image_1166.jpg,SLEEPY ORANGE
100,31,11,GREAT EGGFLY,BLUE SPOTTED CROW,Image_5230.jpg,GREAT EGGFLY
112,46,68,ORANGE OAKLEAF,TROPICAL LEAFWING,Image_628.jpg,ORANGE OAKLEAF
118,20,30,COMMON BANDED AWL,GOLD BANDED,Image_6107.jpg,COMMON BANDED AWL
120,57,26,QUESTION MARK,EASTERN COMA,Image_85.jpg,QUESTION MARK
133,26,57,EASTERN COMA,QUESTION MARK,Image_1494.jpg,EASTERN COMA
147,68,65,TROPICAL LEAFWING,SOOTYWING,Image_1701.jpg,TROPICAL LEAFWING
148,52,31,PINE WHITE,GREAT EGGFLY,Image_850.jpg,PINE WHITE
156,27,8,EASTERN DAPPLE WHITE,BECKERS WHITE,Image_3782.jpg,EASTERN DAPPLE WHITE
165,15,73,CHECQUERED SKIPPER,YELLOW SWALLOW TAIL,Image_3325.jpg,CHECQUERED SKIPPER
172,27,38,EASTERN DAPPLE WHITE,LARGE MARBLE,Image_1696.jpg,EASTERN DAPPLE WHITE
186,19,39,CLOUDED SULPHUR,MALACHITE,Image_5877.jpg,CLOUDED SULPHUR
209,69,48,TWO BARRED FLASHER,ORCHARD SWALLOW,Image_5131.jpg,TWO BARRED FLASHER
224,26,57,EASTERN COMA,QUESTION MARK,Image_753.jpg,EASTERN COMA
228,4,18,APPOLLO,CLODIUS PARNASSIAN,Image_4630.jpg,APPOLLO
234,54,65,POPINJAY,SOOTYWING,Image_3867.jpg,POPINJAY
235,43,36,MILBERTS TORTOISESHELL,IPHICLUS SISTER,Image_5739.jpg,MILBERTS TORTOISESHELL
