,y_true,y_pred,y_true_label,y_pred_label
0,8,8,BECKERS WHITE,BECKERS WHITE
1,10,10,BLUE MORPHO,BLUE MORPHO
2,24,24,CRIMSON PATCH,CRIMSON PATCH
3,50,50,PAPER KITE,PAPER KITE
4,70,70,ULYSES,ULYSES
5,18,18,CLODIUS PARNASSIAN,CLODIUS PARNASSIAN
6,68,68,TROPICAL LEAFWING,TROPICAL LEAFWING
7,44,44,MONARCH,MONARCH
8,60,60,RED POSTMAN,RED POSTMAN
9,42,42,METALMARK,METALMARK
10,43,43,MILBERTS TORTOISESHELL,MILBERTS TORTOISESHELL
11,57,57,QUESTION MARK,QUESTION MARK
12,46,46,ORANGE OAKLEAF,ORANGE OAKLEAF
13,22,67,COPPER TAIL,STRAITED QUEEN
14,42,42,METALMARK,METALMARK
15,1,1,AFRICAN GIANT SWALLOWTAIL,AFRICAN GIANT SWALLOWTAIL
16,12,12,BROWN SIPROETA,BROWN SIPROETA
17,43,43,MILBERTS TORTOISESHELL,MILBERTS TORTOISESHELL
18,14,14,CAIRNS BIRDWING,CAIRNS BIRDWING
19,26,26,EASTERN COMA,EASTERN COMA
20,66,66,SOUTHERN DOGFACE,SOUTHERN DOGFACE
21,69,69,TWO BARRED FLASHER,TWO BARRED FLASHER
22,20,20,COMMON BANDED AWL,COMMON BANDED AWL
23,51,51,PEACOCK,PEACOCK
24,2,2,AMERICAN SNOOT,AMERICAN SNOOT
25,56,22,PURPLISH COPPER,COPPER TAIL
26,49,49,PAINTED LADY,PAINTED LADY
27,34,34,GREY HAIRSTREAK,GREY HAIRSTREAK
28,67,67,STRAITED QUEEN,STRAITED QUEEN
29,72,72,WOOD SATYR,WOOD SATYR
30,21,21,COMMON WOOD-NYMPH,COMMON WOOD-NYMPH
31,41,41,MESTRA,MESTRA
32,5,5,ATALA,ATALA
33,38,38,LARGE MARBLE,LARGE MARBLE
34,23,23,CRECENT,CRECENT
35,37,6,JULIA,BANDED ORANGE HELICONIAN
36,13,13,CABBAGE WHITE,CABBAGE WHITE
37,42,42,METALMARK,METALMARK
38,9,9,BLACK HAIRSTREAK,BLACK HAIRSTREAK
39,10,10,BLUE MORPHO,BLUE MORPHO
40,16,16,CHESTNUT,CHESTNUT
41,0,0,ADONIS,ADONIS
42,26,26,EASTERN COMA,EASTERN COMA
43,5,5,ATALA,ATALA
44,23,23,CRECENT,CRECENT
45,69,69,TWO BARRED FLASHER,TWO BARRED FLASHER
46,28,23,EASTERN PINE ELFIN,CRECENT
47,5,5,ATALA,ATALA
48,33,33,GREEN CELLED CATTLEHEART,GREEN CELLED CATTLEHEART
49,17,17,CLEOPATRA,CLEOPATRA
50,46,46,ORANGE OAKLEAF,ORANGE OAKLEAF
51,46,46,ORANGE OAKLEAF,ORANGE OAKLEAF
52,69,69,TWO BARRED FLASHER,TWO BARRED FLASHER
53,53,1,PIPEVINE SWALLOW,AFRICAN GIANT SWALLOWTAIL
54,56,56,PURPLISH COPPER,PURPLISH COPPER
55,25,6,DANAID EGGFLY,BANDED ORANGE HELICONIAN
56,56,56,PURPLISH COPPER,PURPLISH COPPER
57,11,11,BLUE SPOTTED CROW,BLUE SPOTTED CROW
58,44,44,MONARCH,MONARCH
59,61,61,RED SPOTTED PURPLE,RED SPOTTED PURPLE
60,15,15,CHECQUERED SKIPPER,CHECQUERED SKIPPER
61,6,6,BANDED ORANGE HELICONIAN,BANDED ORANGE HELICONIAN
62,57,57,QUESTION MARK,QUESTION MARK
63,58,58,RED ADMIRAL,RED ADMIRAL
64,6,6,BANDED ORANGE HELICONIAN,BANDED ORANGE HELICONIAN
65,46,46,ORANGE OAKLEAF,ORANGE OAKLEAF
66,8,38,BECKERS WHITE,LARGE MARBLE
67,57,42,QUESTION MARK,METALMARK
68,48,48,ORCHARD SWALLOW,ORCHARD SWALLOW
69,74,74,ZEBRA LONG WING,ZEBRA LONG WING
70,2,2,AMERICAN SNOOT,AMERICAN SNOOT
71,24,24,CRIMSON PATCH,CRIMSON PATCH
72,43,43,MILBERTS TORTOISESHELL,MILBERTS TORTOISESHELL
73,3,3,AN 88,AN 88
74,63,63,SILVER SPOT SKIPPER,SILVER SPOT SKIPPER
75,73,73,YELLOW SWALLOW TAIL,YELLOW SWALLOW TAIL
76,62,62,SCARCE SWALLOW,SCARCE SWALLOW
77,40,40,MANGROVE SKIPPER,MANGROVE SKIPPER
78,24,24,CRIMSON PATCH,CRIMSON PATCH
79,47,47,ORANGE TIP,ORANGE TIP
80,44,44,MONARCH,MONARCH
81,19,19,CLOUDED SULPHUR,CLOUDED SULPHUR
82,5,5,ATALA,ATALA
83,45,45,MOURNING CLOAK,MOURNING CLOAK
84,4,4,APPOLLO,APPOLLO
85,53,53,PIPEVINE SWALLOW,PIPEVINE SWALLOW
86,49,49,PAINTED LADY,PAINTED LADY
87,29,29,ELBOWED PIERROT,ELBOWED PIERROT
88,7,7,BANDED PEACOCK,BANDED PEACOCK
89,8,8,BECKERS WHITE,BECKERS WHITE
90,44,44,MONARCH,MONARCH
91,35,35,INDRA SWALLOW,INDRA SWALLOW
92,69,15,TWO BARRED FLASHER,CHECQUERED SKIPPER
93,26,26,EASTERN COMA,EASTERN COMA
94,64,19,SLEEPY ORANGE,CLOUDED SULPHUR
95,0,0,ADONIS,ADONIS
96,68,68,TROPICAL LEAFWING,TROPICAL LEAFWING
97,3,3,AN 88,AN 88
98,69,69,TWO BARRED FLASHER,TWO BARRED FLASHER
99,52,52,PINE WHITE,PINE WHITE
100,31,11,GREAT EGGFLY,BLUE SPOTTED CROW
101,17,17,CLEOPATRA,CLEOPATRA
102,15,15,CHECQUERED SKIPPER,CHECQUERED SKIPPER
103,25,25,DANAID EGGFLY,DANAID EGGFLY
104,51,51,PEACOCK,PEACOCK
105,41,41,MESTRA,MESTRA
106,51,51,PEACOCK,PEACOCK
107,42,42,METALMARK,METALMARK
108,16,16,CHESTNUT,CHESTNUT
109,53,53,PIPEVINE SWALLOW,PIPEVINE SWALLOW
110,62,62,SCARCE SWALLOW,SCARCE SWALLOW
