,y_true_label,y_pred_label,Freq
49,LARGE MARBLE,EASTERN DAPPLE WHITE,7
79,SOUTHERN DOGFACE,CLOUDED SULPHUR,4
32,EASTERN COMA,QUESTION MARK,4
27,COPPER TAIL,PURPLISH COPPER,4
69,QUESTION MARK,EASTERN COMA,4
74,SLEEPY ORANGE,CLOUDED SULPHUR,4
12,BLACK HAIRSTREAK,PURPLE HAIRSTREAK,3
88,WOOD SATYR,ORANGE OAKLEAF,3
25,COPPER TAIL,GREY HAIRSTREAK,3
34,EASTERN DAPPLE WHITE,BECKERS WHITE,2
61,ORANGE OAKLEAF,TROPICAL LEAFWING,2
13,BLUE SPOTTED CROW,SOOTYWING,2
45,INDRA SWALLOW,PIPEVINE SWALLOW,2
11,BLACK HAIRSTREAK,GREY HAIRSTREAK,2
4,AMERICAN SNOOT,TROPICAL LEAFWING,2
56,METALMARK,TWO BARRED FLASHER,2
55,METALMARK,GREEN CELLED CATTLEHEART,1
51,MANGROVE SKIPPER,PURPLE HAIRSTREAK,1
52,MANGROVE SKIPPER,ULYSES,1
53,MESTRA,CHECQUERED SKIPPER,1
54,METALMARK,BANDED PEACOCK,1
64,PINE WHITE,BECKERS WHITE,1
63,PEACOCK,RED ADMIRAL,1
58,MILBERTS TORTOISESHELL,EASTERN COMA,1
62,ORCHARD SWALLOW,DANAID EGGFLY,1
57,METALMARK,ULYSES,1
60,MILBERTS TORTOISESHELL,ZEBRA LONG WING,1
59,MILBERTS TORTOISESHELL,PAINTED LADY,1
66,PURPLE HAIRSTREAK,ADONIS,1
65,POPINJAY,GREAT JAY,1
70,RED ADMIRAL,PAINTED LADY,1
67,PURPLE HAIRSTREAK,GREY HAIRSTREAK,1
68,PURPLE HAIRSTREAK,ORANGE OAKLEAF,1
87,WOOD SATYR,COMMON WOOD-NYMPH,1
86,VICEROY,MONARCH,1
85,ULYSES,BLUE SPOTTED CROW,1
84,ULYSES,BLUE MORPHO,1
83,TWO BARRED FLASHER,METALMARK,1
82,TWO BARRED FLASHER,COMMON BANDED AWL,1
81,TROPICAL LEAFWING,COMMON WOOD-NYMPH,1
80,STRAITED QUEEN,MONARCH,1
78,SOOTYWING,MANGROVE SKIPPER,1
77,SOOTYWING,AMERICAN SNOOT,1
76,SLEEPY ORANGE,TROPICAL LEAFWING,1
75,SLEEPY ORANGE,PURPLISH COPPER,1
73,SLEEPY ORANGE,CLEOPATRA,1
72,RED POSTMAN,GREEN CELLED CATTLEHEART,1
71,RED CRACKER,RED POSTMAN,1
50,MANGROVE SKIPPER,PIPEVINE SWALLOW,1
0,ADONIS,PURPLE HAIRSTREAK,1
48,LARGE MARBLE,COPPER TAIL,1
47,LARGE MARBLE,CABBAGE WHITE,1
22,CLOUDED SULPHUR,SLEEPY ORANGE,1
21,CLOUDED SULPHUR,MALACHITE,1
20,CLOUDED SULPHUR,CLEOPATRA,1
19,CLODIUS PARNASSIAN,COMMON BANDED AWL,1
18,CLODIUS PARNASSIAN,CLOUDED SULPHUR,1
17,CLODIUS PARNASSIAN,APPOLLO,1
16,CHESTNUT,MONARCH,1
15,CHECQUERED SKIPPER,JULIA,1
14,BROWN SIPROETA,GREAT EGGFLY,1
10,BANDED PEACOCK,GREAT EGGFLY,1
9,BANDED ORANGE HELICONIAN,RED POSTMAN,1
8,ATALA,RED POSTMAN,1
7,APPOLLO,CLODIUS PARNASSIAN,1
6,APPOLLO,BECKERS WHITE,1
5,AN 88,BANDED ORANGE HELICONIAN,1
3,AMERICAN SNOOT,ORANGE OAKLEAF,1
2,AFRICAN GIANT SWALLOWTAIL,VICEROY,1
23,COMMON BANDED AWL,SOOTYWING,1
24,COMMON WOOD-NYMPH,GOLD BANDED,1
26,COPPER TAIL,PURPLE HAIRSTREAK,1
39,GOLD BANDED,CHECQUERED SKIPPER,1
46,IPHICLUS SISTER,BANDED PEACOCK,1
1,AFRICAN GIANT SWALLOWTAIL,GREAT JAY,1
44,GREAT JAY,ORCHARD SWALLOW,1
43,GREAT EGGFLY,SOOTYWING,1
42,GREAT EGGFLY,JULIA,1
41,GOLD BANDED,SILVER SPOT SKIPPER,1
40,GOLD BANDED,GREAT EGGFLY,1
38,ELBOWED PIERROT,CHESTNUT,1
28,COPPER TAIL,STRAITED QUEEN,1
37,EASTERN PINE ELFIN,SOOTYWING,1
36,EASTERN PINE ELFIN,AMERICAN SNOOT,1
35,EASTERN DAPPLE WHITE,LARGE MARBLE,1
33,EASTERN COMA,TROPICAL LEAFWING,1
31,DANAID EGGFLY,GREAT EGGFLY,1
30,CRECENT,COPPER TAIL,1
29,CRECENT,CHECQUERED SKIPPER,1
89,YELLOW SWALLOW TAIL,PIPEVINE SWALLOW,1
