,y_true,y_pred,y_true_label,y_pred_label,filename,label
13,22,67,COPPER TAIL,STRAITED QUEEN,Image_3518.jpg,COPPER TAIL
14,42,70,METALMARK,ULYSES,Image_951.jpg,METALMARK
30,21,30,COMMON WOOD-NYMPH,GOLD BANDED,Image_5841.jpg,COMMON WOOD-NYMPH
33,38,27,LARGE MARBLE,EASTERN DAPPLE WHITE,Image_2285.jpg,LARGE MARBLE
37,42,69,METALMARK,TWO BARRED FLASHER,Image_5298.jpg,METALMARK
38,9,55,BLACK HAIRSTREAK,PURPLE HAIRSTREAK,Image_1183.jpg,BLACK HAIRSTREAK
46,28,2,EASTERN PINE ELFIN,AMERICAN SNOOT,Image_3889.jpg,EASTERN PINE ELFIN
57,11,65,BLUE SPOTTED CROW,SOOTYWING,Image_4357.jpg,BLUE SPOTTED CROW
67,57,26,QUESTION MARK,EASTERN COMA,Image_3101.jpg,QUESTION MARK
70,2,68,AMERICAN SNOOT,TROPICAL LEAFWING,Image_3145.jpg,AMERICAN SNOOT
82,5,60,ATALA,RED POSTMAN,Image_3448.jpg,ATALA
92,69,42,TWO BARRED FLASHER,METALMARK,Image_959.jpg,TWO BARRED FLASHER
108,16,44,CHESTNUT,MONARCH,Image_5920.jpg,CHESTNUT
112,46,68,ORANGE OAKLEAF,TROPICAL LEAFWING,Image_628.jpg,ORANGE OAKLEAF
120,57,26,QUESTION MARK,EASTERN COMA,Image_85.jpg,QUESTION MARK
141,0,55,ADONIS,PURPLE HAIRSTREAK,Image_1131.jpg,ADONIS
145,22,56,COPPER TAIL,PURPLISH COPPER,Image_996.jpg,COPPER TAIL
156,27,8,EASTERN DAPPLE WHITE,BECKERS WHITE,Image_3782.jpg,EASTERN DAPPLE WHITE
165,15,37,CHECQUERED SKIPPER,JULIA,Image_3325.jpg,CHECQUERED SKIPPER
186,19,39,CLOUDED SULPHUR,MALACHITE,Image_5877.jpg,CLOUDED SULPHUR
204,18,4,CLODIUS PARNASSIAN,APPOLLO,Image_5787.jpg,CLODIUS PARNASSIAN
224,26,57,EASTERN COMA,QUESTION MARK,Image_753.jpg,EASTERN COMA
228,4,18,APPOLLO,CLODIUS PARNASSIAN,Image_4630.jpg,APPOLLO
235,43,74,MILBERTS TORTOISESHELL,ZEBRA LONG WING,Image_5739.jpg,MILBERTS TORTOISESHELL
259,41,15,MESTRA,CHECQUERED SKIPPER,Image_202.jpg,MESTRA
277,38,27,LARGE MARBLE,EASTERN DAPPLE WHITE,Image_1754.jpg,LARGE MARBLE
289,27,38,EASTERN DAPPLE WHITE,LARGE MARBLE,Image_874.jpg,EASTERN DAPPLE WHITE
316,38,27,LARGE MARBLE,EASTERN DAPPLE WHITE,Image_4920.jpg,LARGE MARBLE
319,58,49,RED ADMIRAL,PAINTED LADY,Image_185.jpg,RED ADMIRAL
322,38,27,LARGE MARBLE,EASTERN DAPPLE WHITE,Image_4197.jpg,LARGE MARBLE
331,43,49,MILBERTS TORTOISESHELL,PAINTED LADY,Image_5041.jpg,MILBERTS TORTOISESHELL
341,72,46,WOOD SATYR,ORANGE OAKLEAF,Image_3643.jpg,WOOD SATYR
369,65,40,SOOTYWING,MANGROVE SKIPPER,Image_3890.jpg,SOOTYWING
384,64,19,SLEEPY ORANGE,CLOUDED SULPHUR,Image_4383.jpg,SLEEPY ORANGE
392,67,44,STRAITED QUEEN,MONARCH,Image_1284.jpg,STRAITED QUEEN
399,66,19,SOUTHERN DOGFACE,CLOUDED SULPHUR,Image_2849.jpg,SOUTHERN DOGFACE
408,36,7,IPHICLUS SISTER,BANDED PEACOCK,Image_4863.jpg,IPHICLUS SISTER
418,7,31,BANDED PEACOCK,GREAT EGGFLY,Image_2685.jpg,BANDED PEACOCK
421,64,56,SLEEPY ORANGE,PURPLISH COPPER,Image_1167.jpg,SLEEPY ORANGE
427,38,22,LARGE MARBLE,COPPER TAIL,Image_3065.jpg,LARGE MARBLE
431,18,20,CLODIUS PARNASSIAN,COMMON BANDED AWL,Image_3845.jpg,CLODIUS PARNASSIAN
439,52,8,PINE WHITE,BECKERS WHITE,Image_1735.jpg,PINE WHITE
444,9,55,BLACK HAIRSTREAK,PURPLE HAIRSTREAK,Image_5037.jpg,BLACK HAIRSTREAK
446,70,11,ULYSES,BLUE SPOTTED CROW,Image_6180.jpg,ULYSES
496,60,33,RED POSTMAN,GREEN CELLED CATTLEHEART,Image_4137.jpg,RED POSTMAN
521,30,31,GOLD BANDED,GREAT EGGFLY,Image_96.jpg,GOLD BANDED
530,26,57,EASTERN COMA,QUESTION MARK,Image_4889.jpg,EASTERN COMA
558,3,6,AN 88,BANDED ORANGE HELICONIAN,Image_1476.jpg,AN 88
584,22,34,COPPER TAIL,GREY HAIRSTREAK,Image_4023.jpg,COPPER TAIL
599,48,25,ORCHARD SWALLOW,DANAID EGGFLY,Image_4465.jpg,ORCHARD SWALLOW
605,27,8,EASTERN DAPPLE WHITE,BECKERS WHITE,Image_5308.jpg,EASTERN DAPPLE WHITE
617,38,27,LARGE MARBLE,EASTERN DAPPLE WHITE,Image_41.jpg,LARGE MARBLE
621,11,65,BLUE SPOTTED CROW,SOOTYWING,Image_3443.jpg,BLUE SPOTTED CROW
623,72,21,WOOD SATYR,COMMON WOOD-NYMPH,Image_2563.jpg,WOOD SATYR
632,40,55,MANGROVE SKIPPER,PURPLE HAIRSTREAK,Image_2982.jpg,MANGROVE SKIPPER
645,25,31,DANAID EGGFLY,GREAT EGGFLY,Image_5856.jpg,DANAID EGGFLY
659,51,58,PEACOCK,RED ADMIRAL,Image_3035.jpg,PEACOCK
669,70,10,ULYSES,BLUE MORPHO,Image_218.jpg,ULYSES
690,20,65,COMMON BANDED AWL,SOOTYWING,Image_5515.jpg,COMMON BANDED AWL
694,31,37,GREAT EGGFLY,JULIA,Image_2403.jpg,GREAT EGGFLY
714,64,19,SLEEPY ORANGE,CLOUDED SULPHUR,Image_1054.jpg,SLEEPY ORANGE
715,30,15,GOLD BANDED,CHECQUERED SKIPPER,Image_3627.jpg,GOLD BANDED
717,42,7,METALMARK,BANDED PEACOCK,Image_1549.jpg,METALMARK
726,66,19,SOUTHERN DOGFACE,CLOUDED SULPHUR,Image_3558.jpg,SOUTHERN DOGFACE
727,22,55,COPPER TAIL,PURPLE HAIRSTREAK,Image_635.jpg,COPPER TAIL
729,31,65,GREAT EGGFLY,SOOTYWING,Image_2610.jpg,GREAT EGGFLY
752,71,44,VICEROY,MONARCH,Image_4381.jpg,VICEROY
764,42,69,METALMARK,TWO BARRED FLASHER,Image_1479.jpg,METALMARK
782,1,71,AFRICAN GIANT SWALLOWTAIL,VICEROY,Image_2222.jpg,AFRICAN GIANT SWALLOWTAIL
783,57,26,QUESTION MARK,EASTERN COMA,Image_3556.jpg,QUESTION MARK
786,30,63,GOLD BANDED,SILVER SPOT SKIPPER,Image_3749.jpg,GOLD BANDED
788,22,56,COPPER TAIL,PURPLISH COPPER,Image_2550.jpg,COPPER TAIL
795,23,22,CRECENT,COPPER TAIL,Image_1665.jpg,CRECENT
798,9,34,BLACK HAIRSTREAK,GREY HAIRSTREAK,Image_337.jpg,BLACK HAIRSTREAK
825,12,31,BROWN SIPROETA,GREAT EGGFLY,Image_521.jpg,BROWN SIPROETA
839,4,8,APPOLLO,BECKERS WHITE,Image_6497.jpg,APPOLLO
853,64,17,SLEEPY ORANGE,CLEOPATRA,Image_143.jpg,SLEEPY ORANGE
865,28,65,EASTERN PINE ELFIN,SOOTYWING,Image_3756.jpg,EASTERN PINE ELFIN
909,64,19,SLEEPY ORANGE,CLOUDED SULPHUR,Image_984.jpg,SLEEPY ORANGE
916,32,48,GREAT JAY,ORCHARD SWALLOW,Image_3206.jpg,GREAT JAY
920,2,68,AMERICAN SNOOT,TROPICAL LEAFWING,Image_1777.jpg,AMERICAN SNOOT
926,38,27,LARGE MARBLE,EASTERN DAPPLE WHITE,Image_43.jpg,LARGE MARBLE
934,9,34,BLACK HAIRSTREAK,GREY HAIRSTREAK,Image_236.jpg,BLACK HAIRSTREAK
935,19,17,CLOUDED SULPHUR,CLEOPATRA,Image_776.jpg,CLOUDED SULPHUR
936,9,55,BLACK HAIRSTREAK,PURPLE HAIRSTREAK,Image_5449.jpg,BLACK HAIRSTREAK
948,26,57,EASTERN COMA,QUESTION MARK,Image_1143.jpg,EASTERN COMA
958,43,26,MILBERTS TORTOISESHELL,EASTERN COMA,Image_1621.jpg,MILBERTS TORTOISESHELL
965,26,57,EASTERN COMA,QUESTION MARK,Image_909.jpg,EASTERN COMA
974,35,53,INDRA SWALLOW,PIPEVINE SWALLOW,Image_889.jpg,INDRA SWALLOW
1000,6,60,BANDED ORANGE HELICONIAN,RED POSTMAN,Image_6068.jpg,BANDED ORANGE HELICONIAN
1001,46,68,ORANGE OAKLEAF,TROPICAL LEAFWING,Image_1615.jpg,ORANGE OAKLEAF
1006,42,33,METALMARK,GREEN CELLED CATTLEHEART,Image_2077.jpg,METALMARK
1027,64,68,SLEEPY ORANGE,TROPICAL LEAFWING,Image_1471.jpg,SLEEPY ORANGE
1037,54,32,POPINJAY,GREAT JAY,Image_5752.jpg,POPINJAY
1051,66,19,SOUTHERN DOGFACE,CLOUDED SULPHUR,Image_1533.jpg,SOUTHERN DOGFACE
1055,26,68,EASTERN COMA,TROPICAL LEAFWING,Image_1890.jpg,EASTERN COMA
1058,22,34,COPPER TAIL,GREY HAIRSTREAK,Image_240.jpg,COPPER TAIL
1071,2,46,AMERICAN SNOOT,ORANGE OAKLEAF,Image_5022.jpg,AMERICAN SNOOT
1075,55,34,PURPLE HAIRSTREAK,GREY HAIRSTREAK,Image_1425.jpg,PURPLE HAIRSTREAK
1076,29,16,ELBOWED PIERROT,CHESTNUT,Image_4017.jpg,ELBOWED PIERROT
1080,72,46,WOOD SATYR,ORANGE OAKLEAF,Image_1434.jpg,WOOD SATYR
1108,35,53,INDRA SWALLOW,PIPEVINE SWALLOW,Image_4543.jpg,INDRA SWALLOW
1112,68,21,TROPICAL LEAFWING,COMMON WOOD-NYMPH,Image_3033.jpg,TROPICAL LEAFWING
1114,72,46,WOOD SATYR,ORANGE OAKLEAF,Image_4113.jpg,WOOD SATYR
1146,22,56,COPPER TAIL,PURPLISH COPPER,Image_2893.jpg,COPPER TAIL
1160,64,19,SLEEPY ORANGE,CLOUDED SULPHUR,Image_1418.jpg,SLEEPY ORANGE
1169,38,27,LARGE MARBLE,EASTERN DAPPLE WHITE,Image_2799.jpg,LARGE MARBLE
1173,73,53,YELLOW SWALLOW TAIL,PIPEVINE SWALLOW,Image_2963.jpg,YELLOW SWALLOW TAIL
1182,55,0,PURPLE HAIRSTREAK,ADONIS,Image_4990.jpg,PURPLE HAIRSTREAK
1204,66,19,SOUTHERN DOGFACE,CLOUDED SULPHUR,Image_1659.jpg,SOUTHERN DOGFACE
1214,40,70,MANGROVE SKIPPER,ULYSES,Image_2349.jpg,MANGROVE SKIPPER
1220,22,56,COPPER TAIL,PURPLISH COPPER,Image_5313.jpg,COPPER TAIL
1221,18,19,CLODIUS PARNASSIAN,CLOUDED SULPHUR,Image_4556.jpg,CLODIUS PARNASSIAN
1225,69,20,TWO BARRED FLASHER,COMMON BANDED AWL,Image_1210.jpg,TWO BARRED FLASHER
1236,1,32,AFRICAN GIANT SWALLOWTAIL,GREAT JAY,Image_3634.jpg,AFRICAN GIANT SWALLOWTAIL
1258,65,2,SOOTYWING,AMERICAN SNOOT,Image_4200.jpg,SOOTYWING
1259,23,15,CRECENT,CHECQUERED SKIPPER,Image_1768.jpg,CRECENT
1265,55,46,PURPLE HAIRSTREAK,ORANGE OAKLEAF,Image_362.jpg,PURPLE HAIRSTREAK
1270,22,34,COPPER TAIL,GREY HAIRSTREAK,Image_732.jpg,COPPER TAIL
1271,38,13,LARGE MARBLE,CABBAGE WHITE,Image_2293.jpg,LARGE MARBLE
1281,57,26,QUESTION MARK,EASTERN COMA,Image_5105.jpg,QUESTION MARK
1286,40,53,MANGROVE SKIPPER,PIPEVINE SWALLOW,Image_1781.jpg,MANGROVE SKIPPER
1288,19,64,CLOUDED SULPHUR,SLEEPY ORANGE,Image_5118.jpg,CLOUDED SULPHUR
1291,59,60,RED CRACKER,RED POSTMAN,Image_2280.jpg,RED CRACKER
